TOWN,STATE,ZIPCODE,County
"BUCKSPORT","ME","04416","Hancock"
"SEARSPORT","ME","04974","Waldo"
"HAMPDEN","ME","04444","Penobscot"
"BANGOR","ME","04401","Penobscot"
"HERMON","ME","04401","Penobscot"
"BANGOR","ME","04402","Unknown"
"BANGOR","ME","04412","Unknown"
"LINCOLN","ME","04457","Lincoln"
"OLD TOWN","ME","04468","Penobscot"
"ORONO","ME","04473","Penobscot"
"BREWER","ME","04412","Penobscot"
"ORONO","ME","04469","Unknown"
"VEAZIE","ME","04401","Penobscot"
"BREWER","ME","04401","Unknown"
,"ME","00nan","Unknown"
"DELETE","ME","04401","Unknown"
"DELETE","ME","04473","Unknown"
,"ME","04401","Unknown"
"BANGOR","ME","04473","Unknown"
"ORONO","ME","04468","Unknown"
"ORONO","ME","04401","Unknown"
"OLD TOWN","ME","04473","Unknown"
"OLD TOWN","ME","04468-1940","Unknown"
TRAILER,,,
